"","Tank..","Copper","ID","Diversity","X2014.03.12","X2014.03.19","X2014.03.26","X2014.04.01","X2014.04.17","Means","COV","littler","r1","r2","r3"
"1",1,"no","1.mono","mono",48,36,252,432,648,283.2,0.921841487,0.072296936,0.118444862614538,0.109861228866811,0.0722969357067884
"2",2,"no","2.mono","mono",48,90,234,342,756,294,0.964272217,0.076578899,0.113151436032129,0.0981804863077357,0.0765788990353234
"3",3,"no","3.mono","mono",48,108,1512,1296,360,664.8,1.036578966,0.055969528,0.246427681845113,0.246427681845113,0.246427681845113
"4",4,"no","1.low","low",48,1,234,990,684,391.2,1.09935201,0.073798803,0.113151436032129,0.151325196611037,0.151325196611037
"5",5,"no","2.low","low",48,90,720,1764,504,625.2,1.113955031,0.065315979,0.193432157221586,0.180206911282942,0.180206911282942
"6",6,"no","3.low","low",48,18,342,1242,810,492,1.069700598,0.078495368,0.14025783758248,0.162663862579277,0.162663862579277
"7",7,"no","1.high","high",48,18,414,1242,522,448.8,1.103989941,0.066290738,0.153904640208387,0.162663862579277,0.162663862579277
"8",8,"no","2.high","high",48,36,774,1710,504,614.4,1.119785516,0.065315979,0.198597918762988,0.178652381929441,0.178652381929441
"9",9,"no","3.high","high",48,18,558,1602,648,574.8,1.116798035,0.072296936,0.175225567962387,0.175390355836021,0.175390355836021
"10",10,"yes","1.mono","mono",48,18,234,864,1332,499.2,1.156016339,0.092312107,0.113151436032129,0.144518587894808,0.0923121066720123
"11",11,"yes","2.mono","mono",48,18,198,486,1008,351.6,1.169197302,0.084570068,0.101219001413332,0.11575038064963,0.0845700677145395
"12",12,"yes","3.mono","mono",48,90,1530,1116,594,675.6,0.955658578,0.069879953,0.247273000248471,0.247273000248471,0.247273000248471
"13",13,"yes","1.low","low",48,54,558,1404,486,510,1.084428955,0.064305767,0.175225567962387,0.168793978683893,0.168793978683893
"14",14,"yes","2.low","low",48,72,540,1836,702,639.6,1.137516196,0.074520344,0.172883437760745,0.182207178013627,0.182207178013627
"15",15,"yes","3.low","low",48,36,522,1296,648,510,1.016541392,0.072296936,0.170461898355339,0.164791843300216,0.164791843300216
"16",16,"yes","1.high","high",48,18,288,1170,558,416.4,1.138447081,0.068143276,0.127982819230575,0.159677900844196,0.159677900844196
"17",17,"yes","2.high","high",48,36,846,1998,720,729.6,1.098232923,0.075223617,0.204951310621309,0.18643504741503,0.18643504741503
"18",18,"yes","3.high","high",48,0,486,1656,810,600,1.129446767,0.078495368,0.165357686642329,0.177047966201866,0.177047966201866
